,Unnamed: 0,x,y,z,color
23,23,12.781356811523436,-5.58477020263672,1.637722849845886,#bfbdb8
25,25,12.202685356140135,5.071119785308838,9.337912559509276,#bdbcbc
65,65,8.355775833129881,9.997697830200195,0.20080524682998652,#cec9d0
68,68,8.695003509521483,1.2901209592819212,9.06288146972656,#7c7369
94,94,7.511302471160888,8.473407745361326,0.8780996799468993,#937171
107,107,10.349353790283203,5.01087760925293,7.135506153106689,#606268
136,136,9.171967506408693,3.1530787944793706,5.810364723205566,#526f8b
194,194,7.2979698181152335,7.8365178108215305,-3.0654065608978267,#a7a6a5
243,243,8.67499828338623,2.2000319957733154,8.414077758789062,#88656b
248,248,12.917479515075685,4.207670211791991,5.198611259460448,#9f8a79
255,255,7.963747978210449,1.495583057403565,1.3291915655136108,#48739e
269,269,12.71262836456299,4.370206832885741,7.794208049774171,#bfc27b
279,279,10.492513656616213,7.047654628753662,7.311236381530763,#d8d9d6
298,298,7.0003447532653835,2.089975357055664,-6.4607887268066415,#b8a9a9
303,303,8.339906692504883,2.5041275024414062,7.617722988128665,#524d5b
318,318,6.8664517402648935,5.305959224700928,3.8513221740722656,#a1343c
349,349,6.641111850738523,7.247535705566406,-2.2423014640808105,#90846a
380,380,9.029603004455566,3.0149414539337163,7.201448917388919,#78827f
503,503,6.965272426605225,7.95478868484497,-2.9864199161529545,#8f969a
535,535,9.681133270263674,4.452588081359862,5.999106407165527,#928e62
538,538,12.689465522766108,4.46563720703125,7.868832111358643,#d0cbce
551,551,16.105602264404293,5.729204177856443,2.875250101089477,#647075
623,623,6.822915077209473,5.33409547805786,3.882753849029541,#3d3e3f
647,647,10.624744415283203,6.2175202369689915,8.209375381469728,#dfe0e2
684,684,6.159516334533691,6.177038192749023,4.39434051513672,#8b787b
710,710,6.509950637817384,6.846657276153564,4.613305568695068,#8c8873
737,737,7.929539680480957,0.7526493668556212,11.38838005065918,#b5c4d4
760,760,6.4811553955078125,6.701451301574707,4.53319787979126,#7f91a1
760,760,6.4811553955078125,6.701451301574707,4.53319787979126,#7f91a1
765,765,9.578886032104492,2.540221214294433,7.476665019989013,#827b59
785,785,8.257959365844728,2.2778632640838623,7.7290196418762225,#6c6864
800,800,10.077022552490234,1.0409564971923828,4.866950511932373,#6e6d6b
