date,mean,std,brand
01/01/1993,1.4681113705400772,0.0,Jordan
01/01/1994,-8.867403076585996,0.0,Jordan
01/01/1995,1.1493267560895533,0.0,Jordan
01/01/1997,1.8039220269269538,0.0,Jordan
01/01/2000,2.1251884426865377,3.054592124402185,Jordan
01/01/2003,-4.775812365678504,2.320645364275205,Jordan
01/01/2004,1.7302426230506438,8.152149875726606,Jordan
01/01/2005,-3.0820157394814096,5.705652230719874,Jordan
01/01/2006,-4.509537482274106,2.9806056236234606,Jordan
01/01/2007,-2.726607213460955,4.4655113782338995,Jordan
01/01/2008,-0.6194577017408525,5.688036071550274,Jordan
01/01/2009,0.13513972597628252,4.923807430597639,Jordan
01/01/2010,0.25602287291734566,5.052297283652982,Jordan
01/01/2011,6.14480300358827,5.4148251511626375,Jordan
01/01/2012,-2.5796385674689857,2.778794063039703,Jordan
01/01/2013,-1.5320735818285207,3.0934239022037486,Jordan
01/01/2014,-0.3733826146988824,2.8659065419514813,Jordan
01/01/2015,0.7720338494353267,5.1491371427694,Jordan
01/01/2016,-0.09729383836748207,4.945193645723484,Jordan
01/01/2017,0.4167273808235357,3.6836979700226693,Jordan
01/01/2018,0.03457620208410908,3.7644379785354074,Jordan
01/01/2019,0.16977271260763005,3.2902093390379097,Jordan
01/01/2020,-0.5867261259938275,4.751809383240161,Jordan
01/02/2015,0.2287338673738345,0.0,Jordan
01/02/2016,0.6559070698413532,8.226455102472142,Jordan
01/02/2020,-3.024850797198927,5.269888200821629,Jordan
01/03/2015,-3.1242955257016125,0.0,Jordan
01/03/2018,4.485313502920322,0.0,Jordan
01/03/2019,-0.3069474850387348,0.0,Jordan
01/03/2020,10.494463012594167,0.0,Jordan
01/04/2005,-5.481823434474676,0.0,Jordan
01/04/2014,-0.5193053026277962,3.1320071976911197,Jordan
01/04/2018,7.700186204534781,0.0,Jordan
01/04/2020,-2.3073409547026236,0.0,Jordan
01/05/2013,-2.0659056464612204,5.335853402607739,Jordan
01/05/2018,0.17182711160238523,0.0,Jordan
01/05/2019,4.512224674326843,0.4408012943330708,Jordan
01/06/2018,10.469692378620197,0.0,Jordan
01/07/2012,1.7009737119703183,0.0,Jordan
01/07/2016,0.07476108356210312,0.0,Jordan
01/07/2017,4.361738311836813,0.0,Jordan
01/07/2019,-2.7512822205909853,1.552246510656956,Jordan
01/07/2020,1.3529373172923023,0.0,Jordan
01/08/2016,0.730808672293994,0.0,Jordan
01/08/2019,-2.4040839670804006,0.0,Jordan
01/08/2020,-3.917935734076589,0.0,Jordan
01/09/2015,-3.037408015128306,0.22598101957928807,Jordan
01/09/2016,-1.3489704865534387,0.0,Jordan
01/09/2020,0.6075561260926724,0.41784525819197155,Jordan
01/10/2015,0.8258517492583326,0.0,Jordan
01/10/2019,-1.4265009531565602,0.0,Jordan
01/10/2020,-2.147948931816463,3.6148657484055375,Jordan
01/11/2016,1.5221888105077765,0.0,Jordan
01/11/2020,0.09049516341575642,1.2523364278278428,Jordan
01/12/2018,1.9514652095363825,0.0,Jordan
01/12/2019,2.3733442012749757,2.649140739693821,Jordan
01/13/2018,-0.3438747268262975,0.8372518292219582,Jordan
01/14/2006,0.4685115257630972,0.0,Jordan
01/14/2014,-7.328011302499938,0.0,Jordan
01/14/2017,1.9548945817043646,0.0,Jordan
01/14/2020,4.164011019333156,0.0,Jordan
01/15/2015,-3.897468484142916,0.0,Jordan
01/15/2016,-5.240853869757687,1.5317904319001385,Jordan
01/15/2017,3.156245956218863,0.0,Jordan
01/15/2018,2.609408616174727,3.947508495862618,Jordan
01/15/2019,-0.5544366148797405,5.414671439523281,Jordan
01/15/2020,0.48221148527445673,1.4288152192168302,Jordan
01/16/2016,0.6280834515218547,0.0,Jordan
01/16/2017,0.674680768936662,0.0,Jordan
01/16/2018,1.7441438188185547,0.0,Jordan
01/16/2020,-1.113154084252454,7.7357836200755425,Jordan
01/17/2015,1.5537398134439573,0.0,Jordan
01/17/2019,-6.565082717263029,0.0,Jordan
01/17/2020,-0.8223999190753268,1.0769052227121947,Jordan
01/18/2014,0.18162413245868925,0.39604513456713086,Jordan
01/18/2017,-6.995131256866391,0.0,Jordan
01/18/2018,-0.8242844998367826,2.8217545842447,Jordan
01/18/2019,-1.763793700307038,2.6272598530864752,Jordan
01/18/2020,2.310852805786613,1.5093061661768417,Jordan
01/19/2008,-3.6696049703504032,7.924390038336093,Jordan
01/19/2009,2.9916774610919727,0.0,Jordan
01/19/2013,0.5287710044765916,0.0,Jordan
01/19/2016,-3.0342886403554505,1.6876034469757184,Jordan
01/19/2017,4.491392294388256,0.0,Jordan
01/19/2018,-2.6138842591188505,0.0,Jordan
01/19/2019,0.7660614189885957,6.152060151977756,Jordan
01/19/2020,0.5094971391549415,0.0,Jordan
01/20/2007,2.6439714131776646,3.2820105696347364,Jordan
01/20/2016,-1.6157222368684927,3.474130696429446,Jordan
01/20/2017,5.3282019609006355,3.4767748890031527,Jordan
01/20/2018,1.057365601815655,2.7325853524542203,Jordan
01/20/2020,5.528117079702573,0.0,Jordan
01/21/2012,1.8264577942051863,0.0,Jordan
01/21/2016,-7.735904705948074,0.0,Jordan
01/21/2017,0.18357247879489771,0.0,Jordan
01/21/2019,-4.643668357169905,5.669573053891753,Jordan
01/21/2020,0.6649762903775184,0.0,Jordan
01/22/2015,-1.0163343261746165,0.0,Jordan
01/22/2019,-8.256552423796489,0.034135308504185835,Jordan
01/22/2020,0.43771392837535317,0.30462193677058397,Jordan
01/23/2016,-8.716600909547596,0.0,Jordan
