value,date,brand
0.03232150178641448,09/01/2018,Nike
-1.0851834419939737,04/23/2016,adidas
1.0694533834032107,01/01/2018,Nike
-3.3820150325971543,11/10/2010,Nike
0.28038171164075065,12/18/2008,Jordan
-6.857771898451802,12/27/2019,Nike
0.927193592745943,03/26/2020,Nike
11.15916992325125,05/24/2018,Nike
2.5855266075996735,08/25/2018,Nike
10.496282500788,04/01/2019,Nike
-4.407138072393577,03/01/2018,adidas
-3.951278335028586,10/04/2013,Reebok
0.32750328661244793,09/16/2015,Nike
0.6172949448809125,03/02/2013,Nike
-4.009495982685985,03/15/2018,adidas
3.507754999672736,03/16/2018,adidas
3.6586832773416176,01/29/2019,Nike
11.047794004941032,11/26/2018,Nike
0.48099297964985205,09/19/2018,Jordan
3.6947009097179984,08/15/2018,adidas
8.69937820421928,05/24/2018,Nike
-1.6392208995988014,01/01/2013,adidas
10.498328477282922,06/29/2017,Nike
0.1694023500752518,08/01/2018,Jordan
3.327395544419305,08/25/2018,adidas
-1.0138958854387445,12/01/2018,Nike
-1.4815694494450926,05/13/2019,Vans
0.8097196996440247,02/10/2020,New Balance
2.9803008314424857,07/02/2020,adidas
0.013719730192683436,01/01/2017,Jordan
2.4214072397095316,08/06/2010,Nike
1.2013083193753165,11/20/2015,adidas
5.347581779011768,03/15/2008,Jordan
4.435437292331059,04/01/2019,Jordan
3.195633934108635,09/27/2014,Nike
-4.086913906612341,03/29/2013,Nike
0.3599048694247906,10/17/2017,Nike
1.1297108755007985,02/16/2020,Nike
4.404899061365487,06/01/2005,Nike
-6.5908540093813395,06/17/2019,Jordan
-1.3597652254181303,11/04/2017,Vans
-6.329955895955374,10/06/2017,Nike
-0.5568503426427159,01/31/2017,adidas
0.42521010863262504,12/01/2009,Nike
4.078917956953602,01/01/2017,adidas
-4.4907108951555035,02/05/2020,adidas
3.8622003712256903,09/01/2018,adidas
-3.575108878752639,06/15/2013,Nike
-7.434039836766718,02/10/2016,Nike
9.143532004610618,06/01/2019,Nike
-7.178558438597766,10/01/2019,Jordan
3.750780442552305,01/20/2020,Nike
3.9683445819043803,07/01/2020,Nike
0.39150914439391965,11/05/2011,Jordan
5.231120804387557,02/02/2018,Nike
-0.5781324191198324,06/07/2019,Vans
4.285111247610345,01/01/2000,Jordan
0.5628431478452008,03/26/2020,Nike
3.6831952887246833,10/14/2017,adidas
3.9123515322534375,01/01/2000,adidas
4.308869514348433,01/01/2010,Jordan
3.180625380301727,12/23/2015,Nike
-0.0032662353683643106,07/01/2018,adidas
-7.86789561220337,11/17/2018,Nike
5.704015338175736,06/03/2017,Jordan
10.794205738865493,01/01/2018,Nike
-1.3278089049333939,01/01/2015,Nike
3.1486233296623616,02/16/2019,Nike
0.6562646874828038,03/19/2020,Jordan
-0.2866824376043314,06/22/2020,Nike
2.2569761520077742,11/02/2007,New Balance
-3.7112209613804144,10/28/2017,adidas
-8.838001110570897,04/06/2018,Nike
-4.048306252981875,12/01/2017,adidas
5.8221801894588,12/16/2017,Jordan
0.32925856293628003,11/28/2014,Jordan
-2.8770210974325705,07/16/2015,Nike
1.775056093431584,09/24/2016,Nike
0.10530662805280676,04/11/2020,adidas
-1.0950223687695475,02/14/2020,Nike
-1.8479253543488168,01/01/2015,Nike
-1.006449778883229,04/26/2019,adidas
1.3794372554337226,12/09/2017,adidas
-5.4922300183165955,04/01/2017,Jordan
2.026476621895467,04/11/2019,adidas
-7.249930611991764,03/15/2019,Jordan
-2.9411780060483754,01/01/2018,Converse
-4.168824781953904,05/12/2018,Nike
2.323738660509993,07/29/2017,Vans
0.585560306872974,12/01/2016,adidas
-4.7289884227852825,11/27/2013,Nike
-6.740864637361005,10/06/2001,Jordan
3.6357244368518247,01/01/2018,adidas
1.715381351747507,11/14/2018,adidas
0.3556820811845074,10/11/2018,Jordan
5.736612977850065,08/30/2014,Jordan
0.2574480384624321,02/21/2019,Jordan
2.1990533179927003,08/10/2020,Nike
