,pca,year,brand
0,0.03232150178641448,2018,Nike
1,-1.0851834419939737,2016,adidas
2,1.0694533834032107,2018,Nike
3,-3.3820150325971543,2010,Nike
5,0.28038171164075065,2008,Jordan
6,-6.857771898451802,2019,Nike
7,0.927193592745943,2020,Nike
8,11.15916992325125,2018,Nike
9,2.5855266075996735,2018,Nike
10,10.496282500788,2019,Nike
11,-4.407138072393577,2018,adidas
12,-3.951278335028586,2013,Reebok
13,0.32750328661244793,2015,Nike
14,0.6172949448809125,2013,Nike
15,-4.009495982685985,2018,adidas
16,3.507754999672736,2018,adidas
17,3.6586832773416176,2019,Nike
18,11.047794004941032,2018,Nike
19,0.48099297964985205,2018,Jordan
20,3.6947009097179984,2018,adidas
21,8.69937820421928,2018,Nike
22,-1.6392208995988014,2013,adidas
23,10.498328477282922,2017,Nike
24,0.1694023500752518,2018,Jordan
25,3.327395544419305,2018,adidas
27,-1.0138958854387445,2018,Nike
28,-1.4815694494450926,2019,Vans
29,0.8097196996440247,2020,New Balance
30,2.9803008314424857,2020,adidas
31,0.013719730192683436,2017,Jordan
32,2.4214072397095316,2010,Nike
33,1.2013083193753165,2015,adidas
34,5.347581779011768,2008,Jordan
35,4.435437292331059,2019,Jordan
36,3.195633934108635,2014,Nike
37,-4.086913906612341,2013,Nike
38,0.3599048694247906,2017,Nike
39,1.1297108755007985,2020,Nike
40,4.404899061365487,2005,Nike
41,-6.5908540093813395,2019,Jordan
42,-1.3597652254181303,2017,Vans
43,-6.329955895955374,2017,Nike
44,-0.5568503426427159,2017,adidas
45,0.42521010863262504,2009,Nike
46,4.078917956953602,2017,adidas
47,-4.4907108951555035,2020,adidas
48,3.8622003712256903,2018,adidas
49,-3.575108878752639,2013,Nike
50,-7.434039836766718,2016,Nike
51,9.143532004610618,2019,Nike
52,-7.178558438597766,2019,Jordan
53,3.750780442552305,2020,Nike
54,3.9683445819043803,2020,Nike
55,0.39150914439391965,2011,Jordan
56,5.231120804387557,2018,Nike
57,-0.5781324191198324,2019,Vans
58,4.285111247610345,2000,Jordan
59,0.5628431478452008,2020,Nike
60,3.6831952887246833,2017,adidas
61,3.9123515322534375,2000,adidas
62,4.308869514348433,2010,Jordan
63,3.180625380301727,2015,Nike
64,-0.0032662353683643106,2018,adidas
65,-7.86789561220337,2018,Nike
66,5.704015338175736,2017,Jordan
67,10.794205738865493,2018,Nike
68,-1.3278089049333939,2015,Nike
69,3.1486233296623616,2019,Nike
70,0.6562646874828038,2020,Jordan
71,-0.2866824376043314,2020,Nike
72,2.2569761520077742,2007,New Balance
74,-3.7112209613804144,2017,adidas
75,-8.838001110570897,2018,Nike
76,-4.048306252981875,2017,adidas
77,5.8221801894588,2017,Jordan
78,0.32925856293628003,2014,Jordan
79,-2.8770210974325705,2015,Nike
80,1.775056093431584,2016,Nike
81,0.10530662805280676,2020,adidas
82,-1.0950223687695475,2020,Nike
83,-1.8479253543488168,2015,Nike
84,-1.006449778883229,2019,adidas
85,1.3794372554337226,2017,adidas
86,-5.4922300183165955,2017,Jordan
87,2.026476621895467,2019,adidas
89,-7.249930611991764,2019,Jordan
90,-2.9411780060483754,2018,Converse
91,-4.168824781953904,2018,Nike
92,2.323738660509993,2017,Vans
93,0.585560306872974,2016,adidas
94,-4.7289884227852825,2013,Nike
95,-6.740864637361005,2001,Jordan
96,3.6357244368518247,2018,adidas
97,1.715381351747507,2018,adidas
98,0.3556820811845074,2018,Jordan
100,5.736612977850065,2014,Jordan
101,0.2574480384624321,2019,Jordan
103,2.1990533179927003,2020,Nike
104,-5.3371317105797145,2020,Nike
105,2.245834043641921,2017,Jordan
106,-5.079953678023634,2018,Jordan
107,5.1939261741021285,2017,Nike
108,4.37997793347807,2017,adidas
109,-6.883804853071719,2009,Jordan
110,1.6773860408676873,2017,adidas
111,4.886871870934903,2020,Reebok
112,6.462479962793059,2008,Jordan
113,-8.735129891620439,2018,Jordan
115,-7.111821757704211,2020,Jordan
116,-4.971987062691635,2018,Nike
117,-2.7342290460623278,2016,Nike
118,-6.492522507287516,2020,Jordan
119,-2.2685527235248335,2019,Nike
120,4.0352358307488085,2019,adidas
121,-0.39831178341879986,2017,adidas
122,3.8566733257582744,2018,adidas
123,7.81277085981498,2016,Nike
125,-3.404353103919385,2013,Nike
126,3.684582467975986,2019,adidas
127,-2.7857516770160196,2014,New Balance
128,4.417066959554813,2018,Nike
129,-3.4606063568804095,2011,Nike
130,5.496904201584495,2005,Nike
131,0.753283692138599,2014,Jordan
132,3.0434877533191247,2020,Nike
133,3.260898303722781,2018,adidas
134,0.7325475158390327,2019,adidas
135,0.8248943198360423,2019,Jordan
139,2.302378872455507,2013,Reebok
140,1.6486320388036186,2018,Reebok
142,-1.4092689229041642,2011,Nike
143,-7.186574736033005,2019,Nike
144,5.220958518149358,2018,Reebok
145,2.7794930290078628,2019,Reebok
146,-2.1482358000413706,2004,Nike
147,0.7316126237161432,2019,Nike
149,1.227904805719041,2019,Nike
150,2.335772146384685,2020,Nike
151,2.4674521060813706,2018,Reebok
152,3.68292623901599,2018,Nike
153,-7.312699949306582,2020,Nike
154,0.07074329237078986,2015,Nike
155,-1.6495549945177193,2018,adidas
156,1.8022151417086716,2006,Nike
157,5.910597507516259,2020,adidas
158,0.6998721852011268,2019,Nike
159,2.2596584533087953,2016,adidas
160,-7.08126057744295,2020,Nike
161,-2.61677609616161,2017,Nike
162,-7.287605293196599,2017,Nike
163,2.3439667142801346,2019,adidas
164,1.2856175283239744,2018,adidas
165,-1.3715621754619471,2013,Vans
166,0.23161323098738132,2018,Nike
167,0.9411739188929308,2019,Nike
168,3.235481355131745,2006,Nike
169,7.720428034633357,2007,Nike
170,0.03709929639128542,2016,Nike
172,-5.567626457918928,2011,Nike
173,0.21068800576606242,2008,Nike
174,-0.6830934561615994,2019,Nike
175,-4.195708554205072,2011,Nike
176,1.6998073453450573,2019,New Balance
177,1.6230048675843287,2004,Nike
178,6.203734364245823,2018,adidas
179,-3.546691730539903,2018,Nike
180,0.3416826812803873,2019,Jordan
181,-2.3889170935911292,2018,Vans
182,10.545689775469652,2019,Nike
184,-4.393144040935501,2018,adidas
185,-7.349711876261823,2010,Nike
186,-0.5225333500815708,2019,Vans
187,1.7695090345893019,2017,adidas
188,-1.0725696807441532,2016,Converse
189,0.5210042567817007,2018,adidas
190,1.2368509202511346,2015,Jordan
