,Unnamed: 0,x,y,z,color
0,0,9.734793663024902,2.41530442237854,8.326210021972656,#88867e
11,11,11.64597606658936,9.731912612915039,11.084369659423826,#7e848c
14,14,9.6580171585083,2.339630126953125,5.815287113189697,#363c43
42,42,6.24034547805786,6.221019268035889,4.814539432525635,#3f322e
47,47,7.150368213653565,5.693577289581299,4.069311618804932,#b16167
52,52,6.9539151191711435,7.376349449157715,-3.2908637523651123,#a46d76
59,59,9.85024356842041,1.1799592971801756,6.877548694610597,#643d41
61,61,10.246092796325684,5.0823397636413565,7.399867534637451,#bababb
97,97,12.483211517333984,4.101510524749757,7.551284313201903,#adb2ae
122,122,9.443531036376953,4.446879863739014,7.692009449005128,#babcbb
131,131,9.39928150177002,2.7901198863983154,5.240783214569092,#49454b
136,136,9.171967506408693,3.1530787944793706,5.810364723205566,#526f8b
161,161,7.810718536376954,8.788832664489748,-0.1505225300788879,#ab7c71
185,185,9.102993965148926,9.461769104003906,0.7660151720046996,#d1c3c2
190,190,9.704505920410156,-0.1589803397655487,4.022905349731444,#5e4b4e
226,226,7.925517559051514,8.843131065368652,-0.05771665275096894,#b4aba2
264,264,10.102223396301268,4.828563690185546,6.839835643768311,#867e8e
279,279,10.492513656616213,7.047654628753662,7.311236381530763,#d8d9d6
301,301,8.160930633544924,7.864693164825439,1.5170516967773438,#645d55
308,308,-1.1763973236083984,7.2551307678222665,5.0937299728393555,#875444
311,311,10.999829292297363,4.642299175262452,9.296326637268066,#c4b9a9
315,315,6.435229301452637,8.456763267517092,5.9691948890686035,#c7aa9f
317,317,6.834174156188965,5.9504966735839835,3.635956525802612,#3e4b59
328,328,9.441556930541992,4.033635139465332,6.753843307495117,#7b9230
342,342,9.635275840759276,5.256794452667236,6.581508159637452,#aba7a5
344,344,15.97799587249756,5.652453899383545,3.3031291961669917,#babac4
378,378,7.790302753448486,8.95010566711426,0.14439640939235687,#aa7f55
394,394,8.055393218994139,7.911827564239503,4.467824459075928,#7d7176
396,396,9.91472911834717,1.230577349662781,8.238054275512694,#6a6b6e
405,405,10.95601177215576,2.639115571975708,12.06264114379883,#4d4e4d
412,412,12.7066068649292,4.169634819030762,8.000833511352539,#53899d
415,415,7.972338676452638,4.881110668182374,4.820171356201172,#94754d
424,424,10.565237998962402,0.650683581829071,8.113500595092772,#605f64
433,433,7.069488525390625,2.0217506885528564,-6.387229442596436,#c3a8ae
439,439,10.158208847045898,4.266457557678224,9.456748008728027,#bfbfcc
459,459,9.382765769958496,7.8732919692993155,-3.3669354915618883,#c995a7
462,462,9.976316452026367,6.350900650024415,17.079147338867188,#4e5d78
465,465,8.301796913146973,9.696754455566406,-0.28645458817481995,#cecfd4
468,468,11.528091430664062,1.8788658380508416,6.756730556488037,#303035
478,478,11.51238536834717,1.7282220125198364,6.851769447326659,#333336
485,485,9.458817481994627,0.8789503574371338,6.042859077453612,#373739
489,489,9.93205451965332,4.1936678886413565,8.255988121032713,#949093
505,505,11.47244644165039,1.14350688457489,7.707655429840085,#3e3e47
505,505,11.47244644165039,1.14350688457489,7.707655429840085,#3e3e47
507,507,9.658452987670898,1.2306652069091797,8.26940059661865,#696a6b
514,514,9.54908466339111,3.590214967727661,11.606217384338374,#d1cabe
519,519,8.331894874572756,1.473834753036499,7.4080538749694815,#3d4476
519,519,8.331894874572756,1.473834753036499,7.4080538749694815,#3d4476
534,534,9.966361045837402,6.574678421020508,16.843143463134766,#b6abb1
535,535,9.681133270263674,4.452588081359862,5.999106407165527,#928e62
537,537,7.085149288177488,5.865437507629394,3.9494519233703613,#816a54
539,539,10.070261001586914,5.648851394653318,6.49158239364624,#b0b1b4
544,544,9.989270210266113,1.7625969648361206,4.325655937194823,#272829
568,568,8.21631908416748,7.970358848571777,4.816828727722168,#a9a9a8
576,576,9.769728660583496,4.2290000915527335,6.222994327545166,#bab21b
580,580,7.167046070098878,6.9103736877441415,5.638345241546631,#8799b2
584,584,6.6605162620544425,2.0844740867614746,-0.03863323107361793,#a69d9c
598,598,6.31058931350708,6.2686123847961435,4.705772876739501,#604e49
600,600,13.33097934722901,8.376893043518066,2.992799997329712,#869bb0
605,605,10.24899196624756,4.0686960220336905,8.839351654052734,#919293
610,610,12.365382194519045,4.669594764709472,4.514820098876953,#5f5b62
612,612,5.3173508644104,7.882163524627685,-4.0468058586120605,#60746b
630,630,16.452608108520508,4.755256175994873,2.3470366001129155,#5d696e
640,640,12.798110961914064,-5.6073899269104,1.7194046974182131,#a69c9a
646,646,12.336206436157225,5.075258731842041,9.328642845153807,#aea59a
661,661,6.168217182159423,6.507869720458984,5.6683082580566415,#a6a2a0
663,663,12.036532402038574,5.194080829620361,7.21861219406128,#dcd3c4
668,668,10.35501480102539,5.187812805175781,7.2602477073669425,#b2a9ad
669,669,14.128408432006838,-3.7875595092773438,3.8465394973754883,#4b3b3d
669,669,14.128408432006838,-3.7875595092773438,3.8465394973754883,#4b3b3d
684,684,6.159516334533691,6.177038192749023,4.39434051513672,#8b787b
697,697,8.683369636535645,2.683982610702514,6.770547389984131,#573e41
699,699,9.123696327209473,3.1239585876464844,7.838844299316406,#b56b5b
700,700,16.163564682006836,5.37559700012207,3.430448770523072,#aa9a97
722,722,5.5391573905944815,6.812963008880615,5.896141052246094,#a99f9e
731,731,7.8622398376464835,7.868096828460692,1.2760297060012815,#3b3f43
741,741,11.008917808532713,1.9054245948791504,6.453297138214111,#4c4c4c
751,751,7.61181879043579,1.553135275840759,1.2109625339508057,#9c666e
760,760,6.4811553955078125,6.701451301574707,4.53319787979126,#7f91a1
762,762,10.47445011138916,2.246551036834717,7.553156852722168,#7f786e
775,775,9.575461387634276,1.7323111295700067,4.79768991470337,#2e2e2c
794,794,16.06260108947754,5.692561149597168,3.0996022224426265,#8c8a8d
815,815,8.370220184326174,0.5693637728691101,7.3339204788208,#4a2f2f
818,818,10.230338096618652,1.705345034599304,5.9527997970581055,#333336
821,821,11.432928085327148,5.654046058654785,7.200275897979736,#c5c4b4
825,825,14.178841590881348,-3.8177578449249268,3.866744995117188,#74646b
828,828,7.518568515777588,1.0326323509216309,1.2570780515670776,#61303d
830,830,8.104875564575195,-0.9071286916732788,5.818321228027343,#5c5c5d
842,842,11.643616676330568,9.868955612182617,11.113221168518066,#6d6668
854,854,7.044403553009032,6.381084442138673,3.3071074485778813,#352b38
863,863,10.229134559631348,1.3903571367263792,6.5880699157714835,#3e455a
865,865,10.9984769821167,2.685924768447876,10.687267303466797,#b09f8a
869,869,9.835336685180664,4.794154644012451,8.48845863342285,#acaeb5
873,873,11.401742935180664,0.8129546046257019,7.528669357299805,#4e4e4c
880,880,9.502932548522947,4.5659217834472665,6.978978633880616,#6d6969
899,899,8.870460510253906,0.8582448959350587,6.811710834503173,#2a4365
921,921,8.74820613861084,-1.053778052330017,-1.9384988546371456,#524e61
930,930,8.320643424987793,2.9679806232452397,7.6000895500183105,#677860
936,936,7.9623565673828125,7.9033889770507795,4.29321813583374,#d3bdba
957,957,9.801036834716797,5.0404486656188965,8.964221954345703,#c2bfc4
958,958,6.608627796173097,1.7628617286682131,0.1584436297416687,#c1c0c8
970,970,10.119007110595703,7.984589099884032,6.989716529846192,#d3d3d3
971,971,13.186339378356932,7.172606945037843,12.050155639648436,#74849b
972,972,11.385210037231445,5.316864967346191,5.91102933883667,#cfabbc
980,980,10.950926780700684,5.906205654144286,8.876749038696289,#e7e7e2
986,986,8.723342895507812,8.461226463317871,1.2470902204513548,#d49c93
990,990,8.599610328674316,4.44550323486328,4.7419395446777335,#706d6d
997,997,12.920010566711426,3.981592893600464,5.043088912963866,#5a6779
1004,1004,12.137006759643553,4.490745067596436,4.5865397453308105,#725859
1012,1012,9.71607303619385,7.297013759613037,6.186516284942628,#858d92
1032,1032,10.545029640197754,4.267384052276611,10.096412658691406,#c0c0ba
1037,1037,10.811605453491213,6.117842674255371,7.959462642669678,#e1dfd9
1043,1043,12.678192138671875,4.222134590148927,7.93284273147583,#a49080
1047,1047,-1.4989607334136963,7.089752674102782,5.166261672973633,#727865
1055,1055,9.364340782165527,4.760898590087892,8.183365821838379,#b6aa99
1074,1074,6.4910597801208505,6.853549957275392,-2.379336357116699,#272a2a
1080,1080,8.831703186035154,0.954557240009308,4.515450954437256,#494442
1087,1087,9.784371376037598,4.422623157501222,9.858399391174316,#dbb2aa
1088,1088,8.108645439147951,7.4212069511413565,6.203385353088379,#b2a697
1097,1097,6.95855712890625,2.141216516494751,-6.4925994873046875,#cfd0d3
1098,1098,8.486748695373535,1.11794376373291,8.036511421203612,#4f504f
1105,1105,9.642650604248047,1.27107572555542,8.707337379455566,#8b8886
1116,1116,7.914598941802978,7.701038360595702,4.775980472564696,#447cb3
1121,1121,9.881603240966797,3.648976564407348,8.898316383361816,#979a9d
1131,1131,10.393226623535154,3.9627492427825928,9.381942749023438,#bba6a7
1133,1133,14.154883384704588,-3.5828919410705566,3.8894538879394527,#5a5353
1149,1149,10.504734992980957,2.853604555130005,4.984679222106934,#993736
1152,1152,12.33048629760742,4.856788635253905,9.09744644165039,#8e8c8a
1153,1153,10.864300727844238,8.031381607055666,6.661835670471192,#bbb5af
1157,1157,8.371977806091309,2.020693302154541,6.873724460601808,#5b3b42
1162,1162,7.047154426574706,5.19531774520874,3.9919629096984863,#4a4d52
1189,1189,7.929762840270995,4.840584754943847,4.886735439300538,#6a6b82
1192,1192,10.191217422485352,4.558542728424072,8.747834205627441,#d5ab9d
1197,1197,15.87676429748535,5.612891674041747,3.407778263092041,#dfd2ca
1207,1207,9.829301834106447,2.572296857833862,7.520694732666015,#363639
1219,1219,7.1985931396484375,6.533329963684082,0.44083309173583984,#4d3534
1223,1223,9.620631217956543,3.1654660701751705,9.588034629821776,#bc9b73
1232,1232,12.127368927001953,5.0861639976501465,8.777853012084961,#c6c8cc
1236,1236,9.5675687789917,1.9961017370224,5.204539299011231,#252529
1248,1248,9.374661445617678,7.890981674194336,-3.3095264434814453,#7e8494
1257,1257,10.239937782287598,4.8939990997314435,8.799709320068358,#c3c0bf
1271,1271,6.5303921699523935,1.5755244493484497,0.3772720098495483,#bdbec0
1311,1311,8.468357086181639,8.378744125366211,4.965923786163329,#cdcdd3
1380,1380,9.270820617675778,4.598336219787598,9.017789840698242,#bbc2cd
1412,1412,15.237709999084474,1.672157645225525,0.8966932892799379,#abaeac
1447,1447,12.390244483947756,2.9907803535461426,10.486242294311523,#725a72
1453,1453,12.544272422790527,4.615592002868652,6.6045451164245605,#a3b5bc
1465,1465,5.713896751403809,6.533501148223878,5.573911666870117,#868686
1475,1475,8.5611572265625,1.6477354764938357,7.511952400207519,#575553
1476,1476,9.535311698913574,2.1845872402191158,4.896917343139648,#363838
1482,1482,8.944164276123047,4.446667194366454,8.713784217834473,#ac9293
1499,1499,11.46824836730957,3.3515696525573726,4.813068389892577,#726e66
