index,x,y,label
0,0.5811844,2.7594953,0
1,-5.560866,1.1751847,5
2,-1.8943334,0.43557358,2
3,3.03928,-5.3241615,4
4,-2.2023582,2.1839867,0
5,2.7217398,-0.32628775,0
6,0.71047974,-8.4332695,4
7,-0.35743093,0.9666128,0
8,-1.955894,13.167677,0
9,0.36576843,4.0904,0
10,-0.41713905,14.155375,0
11,-6.3240533,-4.6741366,0
12,-2.2373128,2.3228464,0
13,0.052561283,0.5258589,0
14,-2.0063844,1.8538418,2
15,1.1601124,-4.1275735,0
16,-6.414172,-5.3431964,0
17,-0.5862951,8.58091,0
18,-1.2356038,14.440239,0
19,-2.3022842,0.3855815,2
20,-0.78829193,5.39459,3
21,-10.121674,-2.4341848,0
22,-4.8799553,-0.0072402954,0
23,0.055119514,14.30706,0
24,-0.42538214,-1.1755204,2
25,-6.0194745,-0.4686451,5
26,-4.944771,4.9501653,1
27,-3.9642193,5.243508,3
28,5.859597,-2.669134,4
29,-3.1447954,4.537497,1
30,-3.2556982,4.7558446,1
31,0.36775398,-0.43437862,2
32,-0.07828283,5.7070518,3
33,6.2564173,-0.5926881,0
34,5.7654943,7.412007,3
35,0.48148823,6.212091,5
36,7.822569,-13.317059,0
37,-2.1736164,4.105392,1
38,1.4694748,3.545322,0
39,-4.005769,0.934845,2
40,-1.5331631,5.460686,3
41,0.036283493,-12.535098,4
42,4.7783594,-3.016868,4
43,3.6561193,-5.9874187,4
44,-3.4599252,-1.2325869,0
45,-2.2279458,1.6562219,2
46,0.7838602,4.8912206,5
47,3.0796108,-3.1107574,4
48,-5.337146,-2.1471217,0
49,-2.9534302,2.05546,1
50,0.054014683,-9.224609,4
51,-9.206891,-2.3025527,0
52,0.08926487,-10.637554,4
53,-0.6718292,7.973845,3
54,-0.94606686,8.498718,0
55,3.1739273,-0.3017192,0
56,-3.8562057,5.272529,3
57,3.5674038,-3.7996764,2
58,-1.8591752,5.1224685,1
59,-1.124754,0.7113857,2
60,-5.986636,-0.18727398,5
61,-1.2184553,5.6465344,3
62,-1.8397875,5.2655854,1
63,0.40489197,5.4403825,3
64,1.3110714,0.8068385,0
65,5.6147156,-8.384225,5
66,-2.7148838,6.4786696,1
67,-1.5931606,14.260542,0
68,1.5724773,1.7764525,0
69,7.5583496,-13.301344,0
70,-2.1881275,1.278019,2
71,-0.34424353,0.9616809,0
72,4.2381735,2.781136,1
73,-3.3330598,0.96717644,2
74,3.3652945,-3.3658953,4
75,-2.9962444,11.21727,0
76,2.3501186,-3.78034,4
77,-2.7346916,7.0668654,0
78,-2.510199,0.011266232,2
79,6.3551292,-1.1956484,5
80,-3.1292758,0.6300764,2
81,-2.361804,1.532063,2
82,0.5687189,0.3203516,0
83,5.942939,-2.8955758,4
84,-4.0880303,5.2723107,0
85,-2.1445436,2.2948494,0
86,2.0093489,-10.852367,4
87,-5.4506216,1.2767525,5
88,5.692177,7.3570895,3
89,1.9251146,-7.845534,4
90,8.059367,-1.5416822,0
91,1.1459112,-7.918073,4
92,6.0224485,-0.968719,5
93,1.5287304,0.4472704,0
94,4.557309,-6.5771656,4
95,1.3146152,-9.822087,5
96,-5.179779,-2.1998086,0
97,-5.0973387,1.2427521,3
98,-2.451931,-0.39662313,2
99,5.2410583,-0.5785394,5
100,-2.8218098,7.019075,0
101,-2.3849015,0.09470892,2
102,0.4456625,1.9625788,1
103,4.8807135,-0.6062856,5
104,-8.834079,9.210791,0
105,1.1590958,4.222591,0
106,1.5759201,-9.81988,0
107,-1.327106,5.8913836,3
108,1.1207218,5.9862075,5
109,0.83376884,-10.479715,4
110,1.6963606,4.636123,0
111,-1.1955781,6.526651,3
112,8.390451,-5.6045094,1
113,2.0554838,-11.334067,4
114,-1.2396145,4.5700145,3
115,-0.022690773,-10.449295,4
116,-1.1563478,-0.75595,2
117,1.2500086,4.981601,0
118,0.13457394,-12.428333,4
119,4.1963873,-6.7584257,4
120,-5.8534613,-2.3549733,5
121,2.1065931,5.119676,0
122,-0.77460766,4.687285,3
123,-5.5288815,-9.4937935,0
124,-5.497568,4.4437766,0
125,-0.59014654,3.3837628,0
126,-5.5399804,-1.9550025,5
127,4.108615,3.0752168,1
128,-0.43579197,6.240907,5
129,-2.1670947,4.5706697,1
130,5.688878,7.2923255,3
131,-3.0979404,2.0871596,1
132,7.8660793,-13.298466,0
133,-5.6884127,-0.8512707,5
134,-4.073665,-0.104074,0
135,-2.0482793,2.7990193,1
136,-1.9682932,2.6496463,1
137,-8.358446,-8.032502,1
138,2.22406,-2.4399827,0
139,-4.1863103,4.723369,1
140,-1.8999896,5.7337384,1
141,0.2606945,2.2535138,0
142,5.2245216,2.6828723,0
143,0.26529598,-7.4891005,4
144,-1.2267065,5.6270623,3
145,-3.346149,4.536572,1
146,-0.34657145,-8.071992,4
147,0.15509653,2.228516,0
148,-4.0675344,5.4527364,3
149,0.8666067,0.6861391,0
150,0.23961258,5.3574376,3
151,-2.9696102,2.5763073,2
152,-0.58069277,8.459339,0
153,4.9421024,-7.0864754,4
154,0.011228561,1.9370627,0
155,0.8300142,1.1370897,0
156,-3.2480445,1.7353263,2
157,-6.524669,0.9780865,5
158,-2.1333313,2.3998933,2
159,1.3345671,5.3129344,5
160,4.4288597,-8.789798,5
161,4.9730797,-7.424305,0
162,5.0162487,-8.445103,5
163,-4.4038587,-2.3270507,0
164,-3.142387,-0.98471975,0
165,5.527417,-2.5752802,4
166,-0.1221056,0.31457567,0
167,-2.9033475,2.0392122,2
168,7.6924686,-13.317612,0
169,-5.1701517,-9.646362,0
